Name,Therapeutic Action,DOI,Chemical Name,title,References
CC- 1a.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin1,CC- 1a.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 1b.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin2,CC- 1b.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 2a.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin3,CC- 2a.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 2b.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin4,CC- 2b.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 4.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin6,CC- 4.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 5.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin7,CC- 5.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 6a.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin8,CC- 6a.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 6b.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin9,CC- 6b.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 7.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin10,CC- 7.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 8.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin11,CC- 8.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 9.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin12,CC- 9.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 10.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin13,CC- 10.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 11a.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin14,CC- 11a.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 11b.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin15,CC- 11b.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 11c.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin16,CC- 11c.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 11d.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin17,CC- 11d.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 11e.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin18,CC- 11e.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 12a.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin19,CC- 12a.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 12b.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin20,CC- 12b.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 13a.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin21,CC- 13a.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 13b.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin22,CC- 13b.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 13c.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin23,CC- 13c.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 13d.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin24,CC- 13d.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 14.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin25,CC- 14.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 15a.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin26,CC- 15a.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 15b.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin27,CC- 15b.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 15c.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin28,CC- 15c.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 15d.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin29,CC- 15d.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 16a.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin30,CC- 16a.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 16b.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin31,CC- 16b.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 17a.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin32,CC- 17a.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 17b.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin33,CC- 17b.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 17c.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin34,CC- 17c.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 17d.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin35,CC- 17d.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 18a.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin36,CC- 18a.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 18b.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin37,CC- 18b.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 19.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin38,CC- 19.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 20.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin39,CC- 20.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 21.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin40,CC- 21.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 22.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin41,CC- 22.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 23a.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin42,CC- 23a.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 23b.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin43,CC- 23b.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 24.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin44,CC- 24.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 25.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin45,CC- 25.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 26.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin46,CC- 26.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 27.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin47,CC- 27.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 28.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin48,CC- 28.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 29.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin49,CC- 29.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 30a.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin50,CC- 30a.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 30b.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin51,CC- 30b.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 30c.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin52,CC- 30c.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 30d.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin53,CC- 30d.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 31.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin54,CC- 31.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 32a.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin55,CC- 32a.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 32b.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin56,CC- 32b.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 32c.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin57,CC- 32c.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 33a.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin58,CC- 33a.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 33b.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin59,CC- 33b.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 34a.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin60,CC- 34a.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 34b.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin61,CC- 34b.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 34c.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin62,CC- 34c.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 34d.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin63,CC- 34d.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 35.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin64,CC- 35.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 36.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin65,CC- 36.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 37.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin66,CC- 37.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 38a.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin67,CC- 38a.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 38b.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin68,CC- 38b.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 39.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin69,CC- 39.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
CC- 40.mol,anticancer,https://doi.org/10.1016/j.ejmcr.2022.100038,Coumarin70,CC- 40.mol,https://www.sciencedirect.com/science/article/pii/S2772417422000103?via%3Dihub
